FIPS,State,County,GROC07,GROC12,PCH_GROC_07_12,GROCPTH07,GROCPTH12,PCH_GROCPTH_07_12,SUPERC07,SUPERC12,PCH_SUPERC_07_12,SUPERCPTH07,SUPERCPTH12,PCH_SUPERCPTH_07_12,CONVS07,CONVS12,PCH_CONVS_07_12,CONVSPTH07,CONVSPTH12,PCH_CONVSPTH_07_12,SPECS07,SPECS12,PCH_SPECS_07_12,SPECSPTH07,SPECSPTH12,PCH_SPECSPTH_07_12,SNAPS08,SNAPS12,PCH_SNAPS_08_12,SNAPSPTH08,SNAPSPTH12,PCH_SNAPSPTH_08_12,WICS08,WICS12,PCH_WICS_08_12,WICSPTH08,WICSPTH12,PCH_WICSPTH_08_12
13117,GA,Forsyth,29,33,13.79310345,0.183116645,0.175599166,-4.105295645,3,5,66.66666667,0.018943101,0.026605934,40.45183971,108,67,-37.96296296,0.681951645,0.356519518,-47.72070411,7,7,0,0.04420057,0.037248308,-15.72889617,35.16666667,93.08333333,164.6919431,0.209203362,0.495313808,136.7618783,21,22,4.761905,0.1249271,0.1170661,-6.292471
13119,GA,Franklin,5,6,20,0.22901113,0.274047684,19.66566183,0,0,0,0,0,0,22,15,-31.81818182,1.007648972,0.685119211,-32.00814669,0,0,0,0,0,0,15.33333333,31.58333333,105.9782609,0.70323488,1.44255656,105.1315429,6,6,0,0.2751788,0.2740477,-0.4110589
13121,GA,Fulton,190,212,11.57894737,0.191766166,0.216819241,13.0643874,7,12,71.42857143,0.007065069,0.012272787,73.71078388,1161,350,-69.8535745,1.171792206,0.357956295,-69.45223798,71,56,-21.12676056,0.071659988,0.057273007,-20.07672854,446.4166667,697.9166667,56.33750233,0.440532909,0.713781897,62.02691833,188,155,-17.55319,0.1855222,0.1585235,-14.5528
13123,GA,Gilmer,5,5,0,0.174959759,0.177367861,1.376374601,1,1,0,0.034991952,0.035473572,1.376374601,24,17,-29.16666667,0.839806844,0.603050727,-28.19173466,1,1,0,0.034991952,0.035473572,1.376374601,8.5,20.41666667,140.1960784,0.293934574,0.724252099,146.3990846,7,6,-14.28571,0.2420638,0.2128414,-12.07217
13125,GA,Glascock,1,2,100,0.361141206,0.636537237,76.25716104,0,0,0,0,0,0,2,2,0,0.722282412,0.636537237,-11.87141948,0,0,0,0,0,0,2.25,3.166666667,40.74074074,0.806451613,1.007850626,24.97347762,1,0,-100,0.3584229,0,-100
13127,GA,Glynn,23,21,-8.695652174,0.307679959,0.259188862,-15.76023903,1,1,0,0.01337739,0.012342327,-7.737404656,104,50,-51.92307692,1.391248512,0.617116339,-55.64298301,4,5,25,0.053509558,0.061711634,15.32824418,52.16666667,98.83333333,89.45686901,0.686006347,1.219833296,77.81661952,19,16,-15.78947,0.2498554,0.1974772,-20.96338
13129,GA,Gordon,10,10,0,0.192289203,0.179320733,-6.744252771,1,1,0,0.01922892,0.017932073,-6.744252771,33,40,21.21212121,0.63455437,0.717282932,13.03726937,2,5,150,0.038457841,0.089660367,133.1393681,40.16666667,71.91666667,79.04564315,0.758376759,1.289614939,70.04937496,9,8,-11.11111,0.1699267,0.1434566,-15.57739
13131,GA,Grady,4,4,0,0.160571635,0.157232704,-2.079402516,0,1,0,0,0.039308176,0,11,20,81.81818182,0.441571996,0.786163522,78.03744997,2,2,0,0.080285818,0.078616352,-2.079402516,24.16666667,32.08333333,32.75862069,0.964506173,1.261137317,30.75471698,4,4,0,0.1596424,0.1572327,-1.509434
13133,GA,Greene,8,6,-25,0.508388409,0.372856078,-26.65920955,0,0,0,0,0,0,13,17,30.76923077,0.826131164,1.056425553,27.87625002,1,1,0,0.063548551,0.06214268,-2.212279393,10.83333333,27.58333333,154.6153846,0.687176234,1.714102245,149.4414329,4,4,0,0.2537266,0.2485707,-2.032054
13135,GA,Gwinnett,125,143,14.4,0.161819839,0.169824451,4.946620018,14,17,21.42857143,0.018123822,0.020188921,11.39438938,767,343,-55.28031291,0.992926531,0.407341167,-58.97569923,66,52,-21.21212121,0.085440875,0.061754346,-27.72271349,235,522.0833333,122.1631206,0.297273057,0.620017592,108.5683774,93,107,15.05376,0.1176442,0.1270714,8.013316
13137,GA,Habersham,7,4,-42.85714286,0.166018404,0.091911765,-44.63760504,0,1,,0,0.022977941,,31,33,6.451612903,0.735224362,0.758272059,3.134784156,1,1,0,0.023716915,0.022977941,-3.115808824,22,50,127.2727273,0.511925538,1.148897059,124.4265959,9,8,-11.11111,0.2094241,0.1838235,-12.22427
13139,GA,Hall,32,33,3.125,0.178932889,0.177978168,-0.533563716,2,3,50,0.011183306,0.016179833,44.67845278,118,105,-11.01694915,0.659815028,0.566294171,-14.1737992,8,8,0,0.044733222,0.043146223,-3.547698149,84.83333333,182,114.5383104,0.459226298,0.981576563,113.7457211,36,37,2.777778,0.194878,0.1995513,2.398082
13141,GA,Hancock,1,2,100,0.103917697,0.222321032,113.9395287,0,0,0,0,0,0,1,11,1000,0.103917697,1.222765674,1076.667408,0,0,0,0,0,0,11.58333333,17.25,48.92086331,1.216225675,1.917518897,57.66143866,3,1,-66.66666,0.3149937,0.1111605,-64.71024
13143,GA,Haralson,8,4,-50,0.278667967,0.14084507,-49.45774648,0,1,0,0,0.035211268,0,19,28,47.36842105,0.661836422,0.985915493,48.96664196,1,1,0,0.034833496,0.035211268,1.084507042,19.41666667,31.66666667,63.09012876,0.673044704,1.115023474,65.66856072,8,8,0,0.277306,0.2816902,1.580994
13145,GA,Harris,8,4,-50,0.274800769,0.122887865,-55.28110599,0,0,0,0,0,0,22,21,-4.545454545,0.755702116,0.64516129,-14.62756598,2,1,-50,0.068700192,0.030721966,-55.28110599,9.5,18.83333333,98.24561404,0.321652277,0.57859703,79.88277144,4,2,-50,0.1354325,0.0614439,-54.63134
