,FIPS,State,County,LACCESS_POP10,PCT_LACCESS_POP10,LACCESS_LOWI10,PCT_LACCESS_LOWI10,LACCESS_CHILD10,PCT_LACCESS_CHILD10,LACCESS_SENIORS10,PCT_LACCESS_SENIORS10,LACCESS_HHNV10,PCT_LACCESS_HHNV10
16,13033,GA,Burke,0.008032877,0.103546261,0.020602697,0.124319887,0.007915166,0.114240686,0.01214908,0.089577997,0.057668354,0.394020624
17,13035,GA,Butts,0.003458203,0.043938465,0.004680891,0.027840442,0.003920936,0.05578041,0.002936768,0.021343156,0.026832917,0.189688532
18,13037,GA,Calhoun,0.003345942,0.150227714,0.010099455,0.212267163,0.002645654,0.133003216,0.005464148,0.140329425,0.020734804,0.714370056
19,13039,GA,Camden,0.065774065,0.391353171,0.091687198,0.255373665,0.069034558,0.459915696,0.060740072,0.206720782,0.051025912,0.135683183
20,13043,GA,Candler,0.002488827,0.068014,0.006692824,0.08561823,0.002549009,0.077996015,0.003618278,0.056558799,0.011202302,0.181706052
21,13045,GA,Carroll,0.098902506,0.268940525,0.191102931,0.243259348,0.08747052,0.266322694,0.088784765,0.138096308,0.134452256,0.165219882
22,13047,GA,Catoosa,0.090746984,0.426543492,0.114628402,0.2522183,0.08182337,0.430631697,0.138584958,0.372599168,0.0478569,0.078153997
23,13049,GA,Charlton,0.013001719,0.321064166,0.021753713,0.251465085,0.011616358,0.321187454,0.02091752,0.295458119,0.029507933,0.476014288
24,13051,GA,Chatham,0.188362091,0.213528201,0.251633044,0.133531168,0.154718768,0.196382258,0.316652664,0.205323922,0.114705512,0.018199524
25,13053,GA,Chattahoochee,0.031093719,0.829433765,0.039577915,0.494214162,0.025150338,0.75119101,0.014653384,0.223584478,0.004990512,0.157453328
26,13055,GA,Chattooga,0.006780664,0.078336782,0.01620623,0.087645323,0.004633297,0.059935088,0.011863352,0.078396302,0.019004198,0.096755462
27,13057,GA,Cherokee,0.228981105,0.321071382,0.206969434,0.13585055,0.228114505,0.358139617,0.211740602,0.169824663,0.089961059,0.023498349
28,13059,GA,Clarke,0.153410976,0.39504886,0.403990063,0.486988046,0.116982704,0.337297831,0.126730195,0.186667689,0.181243478,0.198849471
29,13061,GA,Clay,0.000180704,0.017062696,0.00054708,0.024181602,8.74E-05,0.009239909,0.000504643,0.027255853,0.015497614,0.85852749
30,13063,GA,Clayton,0.369480757,0.428054442,0.598548906,0.32460863,0.39060549,0.506690823,0.29953478,0.198494788,0.212211516,0.094290601
31,13065,GA,Clinch,0.001795063,0.079362594,0.003290508,0.068100823,0.001482307,0.073379004,0.003219578,0.081419766,0.002235564,0.100717631
32,13067,GA,Cobb,1,0.436797015,0.962240175,0.196750745,0.972552088,0.475652786,1,0.249847109,0.344312981,0.029689981
33,13069,GA,Coffee,0.024323343,0.172593987,0.055101618,0.183029031,0.024809911,0.197117468,0.031052869,0.126037213,0.058937944,0.209738714
34,13071,GA,Colquitt,0.030469213,0.201273344,0.060226841,0.186238023,0.028911162,0.21383958,0.053894162,0.203639218,0.074510451,0.244450266
